;P
D,AABBCCDDEE,0, 24.11.2011,10:44:38, 979,977,981,975, 980,751,473,729, 1,0,1,0, 0,1,1,0, 3,0, 0,0, 62,129,23485
D,AABBCCDDEE,1, 24.11.2011,10:44:39, 984,979,976,978, 974,760,466,725, 0,1,0,0, 0,1,1,1, 1,3, 0,0, 11,22,33
D,AABBCCDDEE,2, 24.11.2011,10:44:40, 975,975,980,982, 982,755,467,726, 1,0,0,1, 0,0,1,1, 0,9, 0,0, 62,129,23484
D,AABBCCDDEE,3, 24.11.2011,10:44:41, 977,983,975,978, 974,753,466,724, 1,0,1,1, 1,0,1,0, 3,0, 0,0, 59,16,48508
D,AABBCCDDEE,4, 24.11.2011,10:44:42, 981,983,978,983, 975,753,468,726, 0,1,0,0, 1,1,1,0, 3,0, 0,0, 11,22,33
D,AABBCCDDEE,5, 24.11.2011,10:44:43, 974,979,974,974, 980,759,470,728, 1,0,1,1, 0,1,0,0, 0,9, 0,0, 59,16,48508
D,AABBCCDDEE,6, 24.11.2011,10:44:44, 974,977,978,977, 981,757,476,723, 1,1,1,1, 1,0,1,1, 1,5, 0,0, 59,16,48508
D,AABBCCDDEE,7, 24.11.2011,10:44:45, 981,975,977,974, 980,760,470,726, 1,1,1,1, 1,0,1,0, 1,1, 0,0, 11,22,33
D,AABBCCDDEE,8, 24.11.2011,10:44:46, 976,974,975,976, 975,751,473,731, 1,1,0,0, 0,1,0,0, 0,11, 0,0, 11,22,33
D,AABBCCDDEE,9, 24.11.2011,10:44:47, 975,984,975,979, 977,757,469,726, 0,0,0,0, 1,1,0,1, 3,0, 0,0, 62,129,23485
