;P
D,AABBCCDDEE,0, 24.11.2011,10:44:50, 980,980,982,984, 979,758,476,727, 1,1,0,1, 1,1,1,0, 3,0, 0,0, 62,129,23485
D,AABBCCDDEE,1, 24.11.2011,10:44:51, 979,984,983,974, 979,753,472,732, 0,0,0,0, 1,1,1,0, 2,0, 0,0, 62,129,23485
D,AABBCCDDEE,2, 24.11.2011,10:44:52, 981,984,978,980, 978,752,471,730, 0,0,1,0, 0,0,1,0, 0,12, 0,0, 62,129,23484
D,AABBCCDDEE,3, 24.11.2011,10:44:53, 981,980,980,976, 978,750,471,731, 0,0,1,1, 1,0,1,1, 2,0, 0,0, 11,22,33
D,AABBCCDDEE,4, 24.11.2011,10:44:54, 975,977,983,980, 984,750,472,729, 0,1,1,1, 1,0,1,1, 2,0, 0,0, 11,22,33
D,AABBCCDDEE,5, 24.11.2011,10:44:55, 982,984,982,977, 981,759,474,726, 1,1,1,0, 1,0,0,0, 3,0, 0,0, 11,22,33
D,AABBCCDDEE,6, 24.11.2011,10:44:56, 974,984,974,981, 980,752,471,728, 0,0,1,1, 1,0,1,1, 0,2, 0,0, 59,16,48508
D,AABBCCDDEE,7, 24.11.2011,10:44:57, 983,979,984,981, 983,757,470,726, 0,0,0,0, 0,0,1,0, 1,12, 0,0, 11,22,33
D,AABBCCDDEE,8, 24.11.2011,10:44:58, 976,980,981,981, 974,758,466,730, 0,1,0,0, 1,0,1,0, 0,16, 0,0, 62,129,23485
D,AABBCCDDEE,9, 24.11.2011,10:44:59, 980,974,982,984, 978,758,466,732, 0,0,0,1, 0,1,1,1, 0,16, 0,0, 62,129,23484
