;P
D,AABBCCDDEE,0, 24.11.2011,10:45:15, 984,975,979,983, 975,750,466,726, 1,1,1,0, 1,1,1,1, 3,0, 0,0, 62,129,23485
D,AABBCCDDEE,1, 24.11.2011,10:45:16, 984,983,974,975, 977,756,476,732, 0,1,0,1, 0,1,1,0, 0,6, 0,0, 62,129,23484
D,AABBCCDDEE,2, 24.11.2011,10:45:17, 981,977,975,982, 981,759,472,725, 0,0,0,1, 0,1,1,0, 0,15, 0,0, 11,22,33
D,AABBCCDDEE,3, 24.11.2011,10:45:18, 982,979,980,982, 977,756,472,731, 0,1,0,0, 1,1,0,0, 2,0, 0,0, 62,129,23485
D,AABBCCDDEE,4, 24.11.2011,10:45:19, 982,983,979,978, 975,756,473,725, 0,1,0,1, 0,0,1,1, 3,0, 0,0, 59,16,48508
D,AABBCCDDEE,5, 24.11.2011,10:45:20, 978,983,979,974, 980,760,472,723, 0,0,1,0, 1,0,0,0, 3,0, 0,0, 59,16,48508
D,AABBCCDDEE,6, 24.11.2011,10:45:21, 980,980,978,977, 983,757,469,723, 1,0,0,0, 1,0,1,1, 2,0, 0,0, 59,16,48508
D,AABBCCDDEE,7, 24.11.2011,10:45:22, 981,978,981,977, 978,760,474,733, 0,0,0,1, 1,1,0,0, 1,8, 0,0, 62,129,23485
D,AABBCCDDEE,8, 24.11.2011,10:45:23, 978,977,984,981, 978,754,466,730, 1,0,1,0, 1,0,1,0, 0,3, 0,0, 59,16,48508
D,AABBCCDDEE,9, 24.11.2011,10:45:24, 976,979,975,984, 979,754,470,729, 1,0,1,0, 1,1,0,0, 2,0, 0,0, 11,22,33
