;P
D,AABBCCDDEE,0, 24.11.2011,10:45:40, 983,974,984,984, 982,759,469,726, 0,1,0,1, 1,1,0,1, 0,16, 0,0, 62,129,23485
D,AABBCCDDEE,1, 24.11.2011,10:45:41, 984,981,984,982, 981,756,474,732, 0,0,0,0, 0,0,0,0, 0,13, 0,0, 62,129,23485
D,AABBCCDDEE,2, 24.11.2011,10:45:42, 984,975,983,977, 979,752,469,730, 0,1,1,0, 1,1,0,0, 3,0, 0,0, 11,22,33
D,AABBCCDDEE,3, 24.11.2011,10:45:43, 974,984,978,983, 982,758,476,723, 1,0,0,0, 1,0,1,1, 0,12, 0,0, 62,129,23484
D,AABBCCDDEE,4, 24.11.2011,10:45:44, 977,975,976,980, 983,754,471,729, 1,0,0,0, 0,0,0,0, 2,0, 0,0, 59,16,48508
D,AABBCCDDEE,5, 24.11.2011,10:45:45, 984,984,979,983, 984,754,466,724, 0,1,0,0, 0,0,1,1, 2,0, 0,0, 62,129,23485
D,AABBCCDDEE,6, 24.11.2011,10:45:46, 977,978,974,983, 984,758,475,727, 1,0,1,1, 0,0,1,0, 3,0, 0,0, 59,16,48508
D,AABBCCDDEE,7, 24.11.2011,10:45:47, 981,977,977,982, 978,758,470,731, 0,1,0,1, 0,1,0,1, 3,0, 0,0, 59,16,48508
D,AABBCCDDEE,8, 24.11.2011,10:45:48, 975,981,980,984, 975,755,467,732, 0,0,0,0, 1,0,1,0, 2,0, 0,0, 62,129,23484
D,AABBCCDDEE,9, 24.11.2011,10:45:49, 982,979,977,976, 977,755,466,727, 0,0,0,1, 0,0,1,1, 2,0, 0,0, 62,129,23485
